step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
116,supply_adjusted,5.82,0.36,0.58,0.6274509803921569,0.4,0.503478260869565,5.884585795326134,0.76,19.0,0.0147,0.285,0.225,0.215,0.275
117,supply_adjusted,6.515,0.28500000000000003,0.635,0.65,0.34,0.5163157894736843,6.010668636260907,0.77,17.0,0.014450000000000003,0.22,0.245,0.245,0.29
118,supply_adjusted,6.74,0.265,0.61,0.6805555555555556,0.36,0.5383333333333333,6.156534909008726,0.69,14.0,0.014450000000000003,0.26,0.26,0.205,0.275
119,supply_adjusted,5.99,0.33999999999999997,0.61,0.6700507614213198,0.39,0.4685000000000001,6.1232279272069805,0.65,12.0,0.01435,0.265,0.24,0.22,0.275
120,supply_adjusted,6.175,0.31999999999999995,0.625,0.6538461538461539,0.38,0.475625,6.133582341765584,0.72,10.0,0.0138,0.305,0.245,0.21,0.24
121,supply_adjusted,5.8,0.355,0.65,0.6,0.34,0.48,6.0668658734124685,0.86,10.0,0.016600000000000004,0.25,0.265,0.21,0.275
122,supply_adjusted,5.755,0.36,0.645,0.5844748858447488,0.41,0.5807407407407408,6.004492698729974,0.91,16.0,0.0137,0.215,0.22,0.26,0.305
123,supply_adjusted,5.22,0.42000000000000004,0.58,0.5471698113207547,0.48,0.435,5.84759415898398,0.96,24.0,0.014599999999999998,0.28,0.295,0.195,0.23
124,supply_adjusted,5.465,0.39,0.635,0.61,0.41,0.5541666666666667,5.771075327187184,0.78,26.0,0.016249999999999997,0.215,0.24,0.255,0.29
125,supply_adjusted,5.99,0.345,0.56,0.6968085106382979,0.38,0.4707142857142857,5.814860261749748,0.57,20.0,0.0152,0.315,0.215,0.225,0.245
126,supply_adjusted,5.355,0.405,0.595,0.5979899497487438,0.4,0.5263636363636363,5.722888209399798,0.8,17.0,0.01575,0.27,0.235,0.235,0.26
127,supply_adjusted,6.38,0.30000000000000004,0.62,0.6542056074766355,0.38,0.5047368421052632,5.85431056751984,0.74,11.0,0.014450000000000001,0.22,0.21,0.285,0.285
128,supply_adjusted,5.885,0.35,0.615,0.6341463414634146,0.43,0.5485714285714285,5.86044845401587,0.75,16.0,0.013999999999999999,0.24,0.21,0.25,0.3
129,supply_adjusted,5.71,0.365,0.64,0.6135265700483091,0.44,0.41944444444444445,5.830358763212698,0.8,16.0,0.0144,0.235,0.205,0.265,0.295
130,supply_adjusted,5.935,0.345,0.615,0.6485148514851485,0.42,0.4700000000000001,5.851287010570158,0.71,16.0,0.013699999999999999,0.295,0.22,0.225,0.26
131,supply_adjusted,5.935,0.345,0.615,0.6150234741784038,0.38,0.4875,5.868029608456127,0.82,20.0,0.014600000000000002,0.28,0.215,0.22,0.285
132,supply_adjusted,6.325,0.30000000000000004,0.675,0.6635071090047393,0.38,0.5227272727272727,5.959423686764902,0.71,10.0,0.014800000000000002,0.255,0.25,0.205,0.29
133,supply_adjusted,5.675,0.37,0.625,0.6596858638743456,0.45,0.42882352941176466,5.902538949411921,0.65,18.0,0.013699999999999999,0.295,0.215,0.245,0.245
134,supply_adjusted,5.75,0.355,0.7,0.6231884057971014,0.38,0.5322222222222224,5.872031159529538,0.78,9.0,0.01535,0.215,0.29,0.155,0.34
135,supply_adjusted,5.045,0.43000000000000005,0.655,0.6263736263736264,0.44,0.5425,5.706624927623631,0.68,16.0,0.014000000000000002,0.24,0.265,0.205,0.29
136,supply_adjusted,5.86,0.35,0.64,0.5726872246696035,0.35,0.5005,5.737299942098905,0.97,15.0,0.014849999999999999,0.245,0.215,0.235,0.305
137,supply_adjusted,5.835,0.355,0.615,0.6231884057971014,0.37,0.49130434782608695,5.756839953679123,0.78,13.0,0.015449999999999998,0.21,0.265,0.225,0.3
138,supply_adjusted,5.84,0.35,0.66,0.6132075471698113,0.33,0.5517391304347826,5.773471962943299,0.82,23.0,0.015100000000000002,0.22,0.22,0.275,0.285
139,supply_adjusted,6.175,0.31499999999999995,0.675,0.5732217573221757,0.33,0.4494444444444444,5.853777570354639,1.02,13.0,0.0171,0.26,0.2,0.21,0.33
140,supply_adjusted,5.955,0.33999999999999997,0.645,0.528,0.39,0.6286206896551725,5.874022056283711,1.18,25.0,0.014800000000000002,0.28,0.23,0.19,0.3
141,supply_adjusted,6.07,0.33499999999999996,0.58,0.5659574468085107,0.34,0.5157894736842105,5.91321764502697,1.02,28.0,0.0147,0.24,0.245,0.275,0.24
142,supply_adjusted,6.665,0.27,0.635,0.6431718061674009,0.31,0.5189473684210526,6.063574116021576,0.81,34.0,0.01415,0.27,0.24,0.24,0.25
143,supply_adjusted,6.285,0.31499999999999995,0.565,0.6088888888888889,0.38,0.5139130434782608,6.1078592928172615,0.88,13.0,0.01395,0.33,0.225,0.22,0.225
